normalized_name,display_name_variants,variant_count,occurrence_count,recipe_count,dominant_kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,nutrition_source,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,primary_ingredient_hits,quantity_examples,category_examples,recipe_examples,note_examples
cipolla,Cipolla (2746),1,2746,2735,ingredient,alias,Cipolla dorata,cipolle,local-seed,40,1.1,0.1,9.3,14,1 (1830) | 1/2 (395) | 1/4 (22) | 50 G (15) | 100 G (15),Antipasto | Bevande | Carne | Contorno | Dessert,A Tutto Tonno | Abbacchio Brodettato | Abbuott | Acarajé | Acciughe Al Vino Bianco,Luogo: Sicilia. | Luogo: Lombardia. Luogo: Lecco. Luogo: Como. Luogo: Sondrio. Preparazione: 60 minuti. | Luogo: Spagna. Luogo: Catalogna.
latte,Latte (2560),1,2560,2518,ingredient,alias,Latte fresco,latte,local-seed,64,3.3,3.6,4.8,178,50 Cl (401) | 1 Bicchiere (214) | 25 Cl (178) | 100 Cl (165) | 1/2 Bicchiere (137),Antipasto | Bevande | Carne | Contorno | Dessert,Acciughe Alla Siciliana | Acciughe Fritte | Acciughe Ripiene | Acciughe Ripiene (2) | Affogato Al Kiwi,Luogo: Sicilia. | Preparazione: 5 minuti. Calorie: 360. | Preparazione: 60 minuti. Cottura: 90 minuti. Calorie: 756.
limone,Limone (1944),1,1944,1932,ingredient,alias,Limone,limoni,local-seed,29,1.1,0.3,9.3,16,1 (1035) | 1/2 (263) | 1 Fetta (147) | 1 Fettina (146) | 1 Spicchio (53),Antipasto | Bevande | Carne | Contorno | Dessert,Abaloni Alla Californiana | Abbacchio A Scottadito | Abbacchio Brodettato | Abbacchio Con Asparagi | Abbacchio E Carciofi,Luogo: Calabria. | Preparazione: 90 minuti. | Preparazione: 120 minuti. Cottura: 60 minuti. Calorie: 685.
succo di limone,Succo Di Limone (1764),1,1764,1757,ingredient,alias,Limone,limoni,local-seed,29,1.1,0.3,9.3,33,1 Cucchiaio (230) | 1/4 (154) | Alcune Gocce (113) | 2 Cucchiai (98) | 1/5 (92),Antipasto | Bevande | Carne | Contorno | Dessert,4 Luglio | A B C (amici Bevete Cointreau) | Abat-jour | Abbeveraggio | Abricot Tropicale,Luogo: Sicilia. Luogo: Palermo. Luogo: Trapani. | Luogo: India. | Luogo: Jugoslavia.
panna,Panna (1387),1,1387,1374,ingredient,unmatched,,,,,,,,36,2 Cucchiai (115) | 1/2 Bicchiere (103) | 20 Cl (97) | 25 Cl (96) | 10 Cl (88),Antipasto | Bevande | Carne | Contorno | Dessert,Agnello Ai Funghi | Agnello Farcito Di Erbe Con Patate Rifatte E Salsa Di Mortadella | Agnello In Salsa Appetitosa | Albicocche Al Tegamino | Alexander (13),Luogo: Toscana. | Luogo: Piemonte. | Cottura: 10 minuti. Preparazione: 10 minuti.
acqua,Acqua (1344),1,1344,1333,ingredient,unmatched,,,,,,,,0,100 Cl (278) | 50 Cl (87) | 1 Bicchiere (51) | 25 Cl (49) | 200 Cl (38),Antipasto | Bevande | Carne | Contorno | Dessert,"Absinthe Cocktail | Acciughe All'aglio | Acqua Di Cumino | Acqua Di Fiori Di Gelsomino | Agnello Con Patate, Carciofi E Patate",Luogo: India. | Luogo: Belgio. | Luogo: Turchia.
sedano,Sedano (1269),1,1269,1255,ingredient,unmatched,,,,,,,,24,1 Costa (367) | 1 Gambo (186) | 1 (65) | 2 Coste (56) | 1 Cuore (51),Antipasto | Bevande | Carne | Contorno | Dessert,A Tutto Tonno | Abbraccio Di Mezze Maniche | Abbuott | Acciughe Al Vino Bianco | Aceto Aromatico (3),Luogo: Toscana. Luogo: Grosseto. Luogo: Arezzo. Preparazione: 50 minuti | Luogo: Valtellina. | Preparazione: 40 minuti. Cottura: 60 minuti. Calorie: 584.
formaggio parmigiano grattugiato,Formaggio Parmigiano Grattugiato (1258) | Formaggio Parmigiano Grattugiato. (1),2,1259,1251,ingredient,unmatched,,,,,,,,3,50 G (153) | 2 Cucchiai (121) | 4 Cucchiai (95) | 100 G (92) | 1 Cucchiaio (69),Antipasto | Carne | Contorno | Dessert | Pesce,Abbuott | Acciughe In Pangrattato | Acciughe Ripiene | Agnolotti Al Sugo D'arrosto | Agnolotti Alla Piemontese,Luogo: Sicilia. | Luogo: Piemonte. Luogo: Alba. Preparazione: 240 minuti. Cottura: 4 minuti. | Luogo: Piemonte.
prezzemolo tritato,Prezzemolo Tritato (1243),1,1243,1239,ingredient,unmatched,,,,,,,,1,1 Cucchiaio (339) | 2 Cucchiai (109) | 1 Cucchiaino (51) | 1 Manciata (47) | 1 Ciuffo (29),Antipasto | Bevande | Carne | Contorno | Dessert,Abaloni Alla Californiana | Acciughe In Aceto | Acciughe In Teglia | Acciughe Marinate (2) | Agghiotta Di Pesce Spada (2),Luogo: Liguria. Luogo: La Spezia. Preparazione: 20 minuti. | Luogo: Sicilia. | Luogo: Ungheria.
vino bianco,Vino Bianco (1239),1,1239,1237,ingredient,unmatched,,,,,,,,23,1/2 Bicchiere (305) | 1 Bicchiere (292) | 10 Cl (49) | 2 Bicchieri (36) | 100 Cl (32),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio Alla Romana | Abbacchio Alla Romana (3) | Abbacchio Brodettato | Abbraccio Di Mezze Maniche | Abbuott,Luogo: Sicilia. | Luogo: Liguria. | Luogo: Lombardia. Luogo: Mantova.
per servire,Per Servire: (1230) | Per Servire. (1),2,1231,1231,section-label,section-label,,,,,,,,0,,Antipasto | Bevande | Carne | Contorno | Dessert,A. B. C. | Abate | Abc | Absinthe Cocktail (2) | Acapulco (2),Luogo: Germania. | Luogo: Romania. | Luogo: Grecia. Preparazione: 30 minuti. Cottura: 35 minuti.
basilico,Basilico (1204),1,1204,1198,ingredient,exact,Basilico,,local-seed,23,3.2,0.6,2.7,47,Alcune Foglie (138) | 1 Mazzetto (95) | 1 Ciuffo (37) | 10 Foglie (35) | 4 Foglie (30),Antipasto | Bevande | Carne | Contorno | Dessert,A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Abbacchio Con Asparagi | Abbraccio Di Mezze Maniche,Luogo: Sicilia. | Luogo: Puglia. | Luogo: Campania. Luogo: Napoli.
vino bianco secco,Vino Bianco Secco (1145),1,1145,1142,ingredient,unmatched,,,,,,,,30,1 Bicchiere (292) | 1/2 Bicchiere (285) | 2 Bicchieri (50) | 10 Cl (34) | 25 Cl (31),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio A Scottadito (2) | Abbacchio Con Asparagi | Abbacchio E Carciofi | Agliata | Agnello Ai Finocchietti,Luogo: Spagna. Luogo: Catalogna. | Luogo: Sardegna. Luogo: Nuoro. | Preparazione: 5 minuti. Calorie: 360.
pangrattato,Pangrattato (1141),1,1141,1136,ingredient,unmatched,,,,,,,,15,2 Cucchiai (77) | 1 Cucchiaio (57) | 100 G (52) | 50 G (51) | 4 Cucchiai (40),Antipasto | Bevande | Carne | Contorno | Dessert,Abaloni Alla Californiana | Abbacchio Dorato | Abbacchio E Carciofi | Acciughe Al Forno | Acciughe Al Limone (6),Luogo: Sicilia. | Preparazione: 40 minuti. Calorie: 157. | Luogo: Liguria. Luogo: La Spezia. Preparazione: 20 minuti.
uovo,Uovo (1105),1,1105,1097,ingredient,alias,Uova,uovo,local-seed,143,12.6,9.5,1.1,22,1 (1079) | 1/2 (1) | 50 G (1),Antipasto | Bevande | Carne | Contorno | Dessert,Acciughe Impanate | Acrats Di Gamberi Alla Giamaicana | Agnello In Crosta Di Pane Con Crema Di Piselli | Agnolini In Brodo | Agnolotti Alla Piemontese (2),Luogo: Giamaica. | Luogo: Lombardia. Luogo: Mantova. | Luogo: Piemonte.
brodo,Brodo (1092) | Brodo: (1),2,1093,1091,ingredient,alias,Brodo vegetale,brodo,local-seed,6,0.3,0.2,0.8,15,100 Cl (120) | 150 Cl (81) | 1 Mestolo (65) | 1 Bicchiere (56) | 50 Cl (55),Antipasto | Carne | Contorno | Dessert | Pesce,Agnello Alla Toscana | Agnello Alla Valtellinese | Agnello Alle Olive | Agnello Con Carciofi | Agnello Con I Bamia,Luogo: Toscana. | Luogo: Valtellina. | Preparazione: 5 minuti. Calorie: 360.
tuorli d uovo,Tuorli D'uovo (1040) | Tuorli D' Uovo (1),2,1041,1023,ingredient,unmatched,,,,,,,,35,2 (392) | 3 (259) | 4 (200) | 6 (76) | 5 (52),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio Brodettato | Abbacchio Con Asparagi | Agnello Allo Yogurth | Agnello Con Carciofi (2) | Agnolotti Alla Piemontese (2),Preparazione: 40 minuti. Cottura: 60 minuti. Calorie: 584. | Luogo: Piemonte. | Luogo: Messico.
aceto di vino,Aceto Di Vino (1010),1,1010,1007,ingredient,unmatched,,,,,,,,26,1 Cucchiaio (159) | 2 Cucchiai (110) | 1/2 Bicchiere (60) | 1 Bicchiere (50) | 3 Cucchiai (43),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio Alla Cacciatora | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Romana | Acciughe Al Verde | Acciughe Al Verde (2),Luogo: Piemonte. Luogo: Verbano-Cusio-Ossola. Luogo: Biella. Luogo: Asti. Luogo: Vercelli. Preparazione: 30 minuti. | Preparazione: 40 minuti. Calorie: 309. | Preparazione: 40 minuti. Calorie: 157.
noce moscata,Noce Moscata (876),1,876,874,ingredient,unmatched,,,,,,,,2,1 Pizzico (198) | 1 Grattatina (68) | 1 Grattugiata (16) | 1 Grattata (16) | Poca (11),Antipasto | Bevande | Carne | Contorno | Dessert,Aceto Alle Spezie | Aceto Dei 10 Aromi | Aceto Profumato | Afrodisiaco | Agnolini In Brodo,Luogo: Lombardia. Luogo: Mantova. | Preparazione e cottura: 30 minuti. | Preparazione: 30 minuti. Cottura: 5 minuti.
rosmarino,Rosmarino (865),1,865,865,ingredient,unmatched,,,,,,,,20,1 Rametto (326) | 2 Rametti (47) | Alcune Foglie (12) | Alcuni Rametti (8) | Poco (7),Antipasto | Bevande | Carne | Contorno | Dessert,A Tutto Tonno | Abbacchio A Scottadito (2) | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4) | Abbacchio Alla Romana,Luogo: Toscana. | Preparazione: 5 minuti. Calorie: 360. | Preparazione: 30 minuti. Cottura: 40 minuti. Calorie: 515.
alloro,Alloro (864),1,864,864,ingredient,unmatched,,,,,,,,8,1 Foglia (337) | 2 Foglie (157) | Alcune Foglie (52) | 3 Foglie (36) | 4 Foglie (16),Antipasto | Bevande | Carne | Contorno | Dessert,Aceto Agli Aromi (2) | Aceto Agli Aromi Misti | Aceto Ai Fichi Secchi | Aceto Al Corbezzolo | Aceto Al Peperoncino (2),Luogo: Giamaica. | Luogo: Sicilia. | Luogo: Valtellina.
patate,Patate (859),1,859,859,ingredient,unmatched,,,,,,,,330,2 (147) | 500 G (90) | 1000 G (84) | 3 (69) | 4 (63),Antipasto | Carne | Contorno | Dessert | Pesce,Abbacchio A Scottadito (2) | Abbacchio Alla Romana (3) | Acqua Cotta (6) | Agnello Al Forno | Agnello Al Forno Con Verdure,Preparazione: 35 minuti. Cottura: 45 minuti. | Luogo: Lazio. Luogo: Roma. | Luogo: Trentino-Alto Adige. Luogo: Trentino.
carota,Carota (847),1,847,843,ingredient,alias,Carote,carota,local-seed,41,0.9,0.2,9.6,13,1 (653) | 1 Fettina (26) | 1/2 (17) | 100 G (8) | 50 G (4),Antipasto | Bevande | Carne | Contorno | Dessert,A Tutto Tonno | Abbraccio Di Mezze Maniche | Acapulco (2) | Acciughe Al Vino Bianco | Agnello All'aceto Balsamico Tradizionale,Preparazione: 40 minuti. Cottura: 60 minuti. Calorie: 584. | Luogo: Lombardia. Luogo: Mantova. | Preparazione: 90 minuti.
per guarnire,Per Guarnire: (828) | Per Guarnire (8),2,836,835,section-label,section-label,,,,,,,,0,,Antipasto | Bevande | Carne | Contorno | Dessert,A B C (amici Bevete Cointreau) | A Chi Piace | Absoluto | Acapulco | Acapulco (4),Preparazione: 20 minuti. Calorie: 471. | Preparazione: 120 minuti. | Preparazione: 60 minuti.
zucchero a velo,Zucchero A Velo (826),1,826,804,ingredient,unmatched,,,,,,,,20,100 G (82) | 50 G (61) | 2 Cucchiai (44) | 150 G (42) | 200 G (41),Antipasto | Bevande | Carne | Contorno | Dessert,Alberello Di Ricotta Con Agrumi E Fondente | Albicocche Royal | Amandin Con Mandorle E Arance | Amaretti (4) | Amaretti Fritti,Preparazione: 90 minuti. | Luogo: Calabria. Preparazione: 90 minuti. | Preparazione: 40 minuti. Cottura: 20 minuti.
riso,Riso (788),1,788,788,ingredient,alias,Riso arborio,riso,local-seed,358,6.7,0.6,79.1,111,350 G (144) | 400 G (140) | 300 G (120) | 200 G (72) | 250 G (44),Antipasto | Carne | Contorno | Dessert | Pesce,Agnellone Con Riso | Antipasto Di Aragosta In Bellavista | Antipasto Di Carciofi | Antipasto Di Pomodori Alla Valacca | Antipasto Di Riso,Luogo: Ungheria. | Luogo: Sicilia. Luogo: Siracusa. Luogo: Enna. Luogo: Caltanissetta. Luogo: Messina. Preparazione: 60 minuti. | Luogo: Messico.
salvia,Salvia (742),1,742,740,ingredient,unmatched,,,,,,,,17,Alcune Foglie (92) | 1 Rametto (50) | 4 Foglie (42) | 2 Foglie (39) | 3 Foglie (35),Antipasto | Bevande | Carne | Contorno | Pesce,Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4) | Abbacchio Alla Romana (3) | Abbacchio Dorato | Abbacchio E Carciofi,Luogo: Toscana. | Preparazione: 90 minuti. | Preparazione: 60 minuti. Cottura: 90 minuti. Calorie: 563.
rum,Rum (738),1,738,735,ingredient,unmatched,,,,,,,,219,1 Bicchierino (103) | 2 Cucchiai (60) | 1/3 (34) | 1 Cucchiaio (31) | 3/4 (27),Antipasto | Bevande | Carne | Contorno | Dessert,Acapulco (5) | Acapulco Gold | Affogato Al Kiwi | Affogato Alla Banana | Affogato Alla Banana (2),Luogo: Indonesia. | Preparazione: 40 minuti. | Luogo: Romania.
cognac,Cognac (705),1,705,704,ingredient,unmatched,,,,,,,,291,1/3 (83) | 1 Bicchierino (54) | 1/2 (42) | 1/4 (33) | 1 Cucchiaio (31),Antipasto | Bevande | Carne | Contorno | Dessert,4 Luglio | A. B. C. | Abc | Aceto Di Cognac | Aceto Di Cognac Fatto In Casa,Preparazione: 90 minuti. | Preparazione: 40 minuti. Cottura: 35 minuti. | Luogo: Spagna. Luogo: Catalogna.
pomodori,Pomodori (682),1,682,681,ingredient,alias,Pomodorini,pomodori,local-seed,18,0.9,0.2,3.9,110,2 (169) | 4 (97) | 3 (93) | 500 G (56) | 300 G (35),Antipasto | Bevande | Carne | Contorno | Pesce,Acqua Cotta (2) | Acqua Cotta (3) | Acqua Cotta (4) | Acqua Cotta (5) | Acquacotta Toscana Con I Funghi,Luogo: Toscana. Luogo: Grosseto. Luogo: Arezzo. Preparazione: 50 minuti | Luogo: Toscana. | Preparazione: 35 minuti. Cottura: 45 minuti.
gin,Gin (680),1,680,680,ingredient,unmatched,,,,,,,,483,1/3 (80) | 2/4 (69) | 3/4 (59) | 2/3 (53) | 1/4 (36),Bevande | Carne | Contorno | Dessert | Pollame,57 Chevy | Abat-jour | Abate | Absinthe Cocktail | Adam And Eve,Luogo: Piemonte. Luogo: Alba. Preparazione: 90 minuti. Cottura: 20 minuti.
carote,Carote (663),1,663,661,ingredient,exact,Carote,,local-seed,41,0.9,0.2,9.6,148,2 (239) | 4 (46) | 3 (44) | 500 G (36) | 150 G (30),Antipasto | Bevande | Carne | Contorno | Dessert,Agnello Alla Toscana | Agnello Alla Valtellinese | Agnello Con Rape | Agnello Con Ratatouille Di Verdure | Alborelle In Carpione Alla Piemontese,Luogo: Toscana. | Luogo: Valtellina. | Luogo: Piemonte.
cipolle,Cipolle (645),1,645,644,ingredient,alias,Cipolla dorata,cipolle,local-seed,40,1.1,0.1,9.3,72,2 (307) | 3 (54) | 4 (38) | 500 G (31) | 400 G (21),Antipasto | Carne | Contorno | Pesce | Pollame,Aceto Di Cipolla E Scalogni | Acqua Cotta (2) | Acqua Cotta (3) | Acqua Cotta (6) | Acquacotta Della Tuscia,Luogo: Valtellina. | Luogo: Emilia-Romagna. | Luogo: Campania. Luogo: Napoli.
brandy,Brandy (615),1,615,614,ingredient,unmatched,,,,,,,,166,1 Bicchierino (119) | 2 Cucchiai (37) | 1 Cucchiaio (37) | 1/2 Bicchiere (27) | 1 Bicchiere (24),Antipasto | Bevande | Carne | Contorno | Dessert,Accordion | Adam And Eve | After Dinner | Aibes | Al Capone,Luogo: Austria. | Luogo: Stati Uniti. Luogo: California. | Luogo: Stati Uniti.
limone succo,Limone (succo) (610),1,610,608,ingredient,unmatched,,,,,,,,0,1 (298) | 1/2 (295) | 1/4 (11) | 1 1/2 (5) | 1 1/2 Cucchiai (1),Antipasto | Bevande | Carne | Contorno | Dessert,Agnello Con Carciofi In Fricassea | Agnello Con I Bamia | Agnello Con Le Olive | Agnello In Salsa Appetitosa | Agoni Alla Griglia Alla Maniera Trentina,Luogo: Liguria. | Luogo: Abruzzo. | Luogo: Trentino-Alto Adige. Luogo: Trentino. Luogo: Trento.
formaggio parmigiano,Formaggio Parmigiano (604),1,604,601,ingredient,unmatched,,,,,,,,15,50 G (84) | 100 G (64) | 30 G (31) | 2 Cucchiai (27) | 4 Cucchiai (22),Antipasto | Carne | Contorno | Dessert | Pesce,Acqua Cotta (2) | Agnolini In Brodo | Agnolotti Di Alessandria | Agnolotti Ricotta E Spinaci Decorati Con Ravanelli | Anche I Tonni Sono Dei Salami,Luogo: Lombardia. Luogo: Mantova. | Preparazione: 30 minuti. Cottura: 5 minuti. | Preparazione: 10 minuti. Cottura: 10 minuti.
per decorare,Per Decorare: (591) | Per Decorare (4),2,595,595,section-label,section-label,,,,,,,,0,,Antipasto | Bevande | Carne | Contorno | Dessert,1908 | 31 Marzo | 333 | Aceto Messicano | Adam (2),Preparazione: 10 minuti. Cottura: 40 minuti. | Preparazione: 40 minuti. | Preparazione: 20 minuti. Cottura: 30 minuti.
peperoncino,Peperoncino (589),1,589,587,ingredient,unmatched,,,,,,,,6,1 (123) | 1 Pizzico (38) | 1 Pezzetto (33) | 1 Spicchio (17) | 1/2 (12),Antipasto | Bevande | Carne | Contorno | Dessert,Abbuticchi | Acciughe Al Verde | Acciughe Al Verde (2) | Acciughe Alle Olive | Acciughe Con Salsa Verde,Luogo: Piemonte. Luogo: Verbano-Cusio-Ossola. Luogo: Biella. Luogo: Asti. Luogo: Vercelli. Preparazione: 30 minuti. | Preparazione: 40 minuti. Calorie: 309. | Luogo: Spagna. Luogo: Catalogna.
timo,Timo (575),1,575,568,ingredient,unmatched,,,,,,,,6,1 Rametto (111) | 1 Pizzico (39) | 2 Rametti (21) | 1 Cucchiaino (14) | Alcuni Rametti (11),Antipasto | Bevande | Carne | Contorno | Pesce,Abbacchio Alla Cacciatora (4) | Abbacchio Con Asparagi | Acciughe Al Limone (6) | Aceto Agli Aromi (2) | Aceto Al Timo,Luogo: Spagna. Luogo: Catalogna. | Preparazione: 35 minuti. Cottura: 45 minuti. | Preparazione: 20 minuti. Cottura: 15 minuti.
capperi,Capperi (560),1,560,558,ingredient,unmatched,,,,,,,,11,1 Cucchiaio (157) | 2 Cucchiai (41) | 50 G (35) | 30 G (33) | 1 Cucchiaino (25),Antipasto | Carne | Contorno | Pesce | Pollame,Agghiotta Di Pesce Spada (2) | Agnello Alla Toscana | Aguglie Alla Siciliana | Alivi Siracusani Scacciati | Anatra In Umido Con Le Olive,Luogo: Sicilia. | Luogo: Toscana. | Luogo: Sicilia. Luogo: Siracusa.
arancia,Arancia (549),1,549,548,ingredient,alias,Arancia,arancie,local-seed,47,0.9,0.1,11.8,22,1 (146) | 1 Fetta (129) | 1 Fettina (110) | 1/2 Fetta (31) | 1 Spicchio (23),Antipasto | Bevande | Carne | Contorno | Dessert,Afternoon Cocktail | Alaska (4) | Alta Società | Amaretto Sour (2) | American Lemonade,Cottura: 30 minuti. Preparazione: 120 minuti. | Ricetta adatta a: vegetariani. | Preparazione: 40 minuti.
origano,Origano (542),1,542,542,ingredient,unmatched,,,,,,,,3,1 Pizzico (94) | 1 Cucchiaino (26) | 1 Presa (18) | 1 Cucchiaio (12) | 1/2 Cucchiaino (6),Antipasto | Carne | Contorno | Dessert | Pesce,Abbacchio A Scottadito (2) | Acciughe Al Vino Bianco | Acciughe All'aglio | Acciughe Alla Pizzaiola | Acciughe Alla Siciliana,Luogo: Sicilia. | Luogo: Puglia. | Luogo: Abruzzo.
cannella,Cannella (531),1,531,529,ingredient,unmatched,,,,,,,,10,1 Pizzico (96) | 1 G (47) | 1 Pezzetto (36) | 1 Stecca (29) | 1 Cucchiaino (29),Antipasto | Bevande | Carne | Contorno | Dessert,Aceto Alla Cipolla | Aceto Aromatico (2) | Aceto Aromatico Per Insalate Con La Frutta | Aceto Dei 10 Aromi | Aceto Di Cherry,Preparazione: 90 minuti. | Luogo: Toscana. | Luogo: Austria.
tuorlo d uovo,Tuorlo D'uovo (528),1,528,524,ingredient,unmatched,,,,,,,,0,1 (514) | 1/2 (7) | 1 Cucchiaio (1) | 1 Cucchiaino (1) | 2 Cucchiaini (1),Antipasto | Bevande | Carne | Contorno | Dessert,Agnello In Crosta | Alice | Ambassador | Anatra Selvatica Alla Crema | Anguilla In Salsa Verde,Preparazione: 30 minuti. Cottura: 40 minuti. Calorie: 515. | Preparazione: 120 minuti. | Luogo: Austria.
